time,teplota
0,"59,5"
1,"59,4"
2,"59,2"
3,"59,09"
4,"58,99"
5,"58,8"
6,"58,6"
7,"58,59"
8,"58,6"
9,"58,71"
10,"58,8"
11,"58,99"
12,"59,09"
13,"59,28"
14,"59,44"
15,"59,64"
16,"59,89"
17,"60,1"
18,"60,38"
19,"60,53"
20,"60,8"
21,"61,08"
22,"61,46"
23,"61,79"
24,"62,08"
25,"62,29"
26,"62,54"
27,"62,79"
28,"63,09"
29,"63,36"
30,"63,53"
31,"63,79"
32,"64,06"
33,"64,32"
34,"64,57"
35,"64,78"
36,"65,09"
37,"65,28"
38,"65,39"
39,"65,52"
40,"65,8"
41,"66,02"
42,"66,29"
43,"66,5"
44,"66,74"
45,"66,99"
46,"67,24"
47,"67,47"
48,"67,63"
49,"67,93"
50,"68,09"
51,"68,4"
52,"68,59"
53,"68,78"
54,"69,01"
55,"69,33"
56,"69,59"
57,"69,79"
58,"69,98"
59,"70,18"
60,"70,39"
61,"70,57"
62,"70,78"
63,"70,98"
64,"71,09"
65,"71,3"
66,"71,5"
67,"71,62"
68,"71,87"
69,"72,03"
70,"72,25"
71,"72,27"
72,"72,34"
73,"72,5"
74,"72,61"
75,"72,81"
76,"73,04"
77,"73,21"
78,"73,36"
79,"73,51"
80,"73,61"
81,"73,8"
82,74
83,"74,16"
84,"74,3"
85,"74,44"
86,"74,6"
87,"74,94"
88,"75,09"
89,"75,26"
90,"75,37"
91,"75,56"
92,"75,68"
93,"75,8"
94,"75,9"
95,"75,95"
96,"76,17"
97,"76,29"
98,"76,43"
99,"76,59"
100,"76,62"
101,"76,81"
102,"76,95"
103,"77,02"
104,77
105,"77,12"
106,"77,28"
107,"77,32"
108,"77,5"
109,"77,59"
110,"77,76"
111,"77,86"
112,78
113,"78,09"
114,"78,24"
115,"78,3"
116,"78,55"
117,"78,59"
118,"78,78"
119,"78,91"
120,"79,27"
121,"79,38"
122,"79,5"
123,"79,6"
124,"79,74"
125,"79,68"
126,"79,79"
127,"79,76"
128,"79,72"
129,"79,61"
130,"79,49"
131,"79,36"
132,"79,16"
133,79
134,"78,88"
135,"78,58"
136,"78,26"
137,"78,03"
138,"77,87"
139,"77,62"
140,"77,39"
141,"77,2"
142,77
143,"76,82"
144,"76,54"
145,"76,41"
146,"76,18"
147,"75,98"
148,"75,81"
149,"75,56"
150,"75,44"
151,"75,21"
152,"75,14"
153,"74,95"
154,"74,78"
155,"74,61"
156,"74,45"
157,"74,19"
158,"73,99"
159,"73,8"
160,"73,68"
161,"73,5"
162,"73,25"
163,"73,05"
164,"72,96"
165,"72,89"
166,"72,56"
167,"72,35"
168,"72,06"
169,"71,86"
170,"71,68"
171,"71,59"
172,"71,37"
173,"71,23"
174,"71,14"
175,"70,98"
176,"70,81"
177,"70,73"
178,"70,59"
179,"70,45"
180,"70,25"
181,"70,14"
182,"70,03"
183,"69,9"
184,"69,96"
185,"69,81"
186,"69,75"
187,"69,62"
188,"69,55"
189,"69,35"
190,"69,21"
191,"69,14"
192,"69,02"
193,"68,91"
194,"68,8"
195,"68,59"
196,"68,55"
197,"68,49"
198,"68,42"
199,"68,29"
200,"68,04"
201,"67,87"
202,"67,72"
203,"67,63"
204,"67,58"
205,"67,43"
206,"67,34"
207,"67,23"
208,"67,14"
209,"67,11"
210,"67,04"
211,"66,93"
212,"66,83"
213,"66,74"
214,"66,71"
215,"66,56"
216,"66,63"
217,"66,56"
218,"66,52"
219,"66,49"
220,"66,47"
221,"66,39"
222,"66,24"
223,"66,17"
224,"66,08"
225,"66,02"
226,"65,99"
227,"65,97"
228,"65,91"
229,"65,83"
230,"65,7"
231,"65,63"
232,"65,44"
233,"65,27"
234,"65,19"
235,"65,18"
236,"65,09"
237,"65,08"
238,"65,04"
239,"64,96"
240,"64,59"
241,"64,5"
242,"64,48"
243,"64,37"
244,"64,34"
245,"64,5"
246,"64,5"
247,"64,5"
248,"64,59"
249,"64,6"
250,"64,63"
251,"64,69"
252,"64,7"
253,"64,78"
254,"64,79"
255,"64,79"
256,"64,88"
257,"64,9"
258,"64,98"
259,"65,02"
260,"65,06"
261,"65,09"
262,"65,19"
263,"65,27"
264,"65,12"
265,"65,19"
266,"65,25"
267,"65,3"
268,"65,39"
269,"65,5"
270,"65,5"
271,"65,59"
272,"65,59"
273,"65,72"
274,"65,8"
275,"65,83"
276,"65,88"
277,"65,99"
278,"66,02"
279,"66,09"
280,"66,3"
281,"66,43"
282,"66,5"
283,"66,56"
284,"66,6"
285,"66,61"
286,"66,74"
287,"66,8"
288,"66,8"
289,"66,89"
290,"66,99"
291,67
292,"67,02"
293,"67,1"
294,"67,11"
295,"67,08"
296,"67,07"
297,"67,1"
298,"67,14"
299,"67,19"
300,"67,24"
301,"67,3"
302,"67,3"
303,"67,4"
304,"67,46"
305,"67,51"
